Date,Month,Day,Year,TB10YRS
10/1/1973,10,1,1973,6.794285714
11/1/1973,11,1,1973,6.7285
12/1/1973,12,1,1973,6.743684211
1/1/1974,1,1,1974,6.988636364
2/1/1974,2,1,1974,6.957222222
3/1/1974,3,1,1974,7.209047619
4/1/1974,4,1,1974,7.512380952
5/1/1974,5,1,1974,7.575909091
6/1/1974,6,1,1974,7.5355
7/1/1974,7,1,1974,7.805
8/1/1974,8,1,1974,8.044090909
9/1/1974,9,1,1974,8.0375
10/1/1974,10,1,1974,7.896818182
11/1/1974,11,1,1974,7.681111111
12/1/1974,12,1,1974,7.433809524
1/1/1975,1,1,1975,7.501363636
2/1/1975,2,1,1975,7.392222222
3/1/1975,3,1,1975,7.728
4/1/1975,4,1,1975,8.226818182
5/1/1975,5,1,1975,8.05952381
6/1/1975,6,1,1975,7.860952381
7/1/1975,7,1,1975,8.061363636
8/1/1975,8,1,1975,8.397619048
9/1/1975,9,1,1975,8.426666667
10/1/1975,10,1,1975,8.137727273
11/1/1975,11,1,1975,8.052941176
12/1/1975,12,1,1975,7.996818182
1/1/1976,1,1,1976,7.742380952
2/1/1976,2,1,1976,7.792777778
3/1/1976,3,1,1976,7.734347826
4/1/1976,4,1,1976,7.564285714
5/1/1976,5,1,1976,7.895
6/1/1976,6,1,1976,7.861363636
7/1/1976,7,1,1976,7.831904762
8/1/1976,8,1,1976,7.768636364
9/1/1976,9,1,1976,7.594285714
10/1/1976,10,1,1976,7.411
11/1/1976,11,1,1976,7.291052632
12/1/1976,12,1,1976,6.869090909
1/1/1977,1,1,1977,7.213333333
2/1/1977,2,1,1977,7.391052632
3/1/1977,3,1,1977,7.46
4/1/1977,4,1,1977,7.3705
5/1/1977,5,1,1977,7.456666667
6/1/1977,6,1,1977,7.275454545
7/1/1977,7,1,1977,7.33
8/1/1977,8,1,1977,7.396521739
9/1/1977,9,1,1977,7.343809524
10/1/1977,10,1,1977,7.5235
11/1/1977,11,1,1977,7.577368421
12/1/1977,12,1,1977,7.685238095
1/1/1978,1,1,1978,7.956190476
2/1/1978,2,1,1978,8.033333333
3/1/1978,3,1,1978,8.035909091
